drug_a	drug_b	cell_line	label	fold
Luminespib	MK-2206	HCC1143	0	1
Lapatinib	NU7441	MDA-MB-453	0	1
Olaparib	SCH772984	SW948	0	1
MK-2206	Trametinib	HCC1143	0	1
Olaparib	SB216763	CAL-148	0	1
MK-1775	Olaparib	HCC1569	0	1
SB505124	Taselisib	CW-2	0	1
Erlotinib	Palbociclib	SW1990	0	1
Vorinostat	Wee1 Inhibitor	HCC2157	0	1
Taselisib	Sorafenib	CAL-85-1	0	1
LGK974	SCH772984	CAPAN-2	0	1
Vorinostat	SCH772984	HCC1395	0	1
Trametinib	Bortezomib	HCC1954	0	1
SB505124	Linsitinib	SNU-407	0	1
Palbociclib	Sorafenib	BxPC-3	0	1
Docetaxel	Taselisib	HCC70	0	1
Bortezomib	Cisplatin	UACC-893	0	1
Temozolomide	Venetoclax	MDA-MB-157	0	1
AZD7762	Trametinib	PL4	0	1
SCH772984	Sorafenib	KP-1N	0	1
AZD7762	Crizotinib	COLO-824	0	1
Palbociclib	Lapatinib	MIA-PaCa-2	1	1
Pictilisib	BI-2536	HCC38	0	1
Taselisib	Docetaxel	MDA-MB-415	0	1
Trametinib	SCH772984	OCUB-M	0	1
Galunisertib	Lapatinib	CFPAC-1	0	1
AZD7762	Docetaxel	T47D	0	1
Crizotinib	SCH772984	CFPAC-1	0	1
Docetaxel	SCH772984	HCC1954	0	1
Olaparib	Ruxolitinib	CAPAN-2	0	1
Linsitinib	Wee1 Inhibitor	CAL-148	0	1
AZD7762	Linsitinib	PANC-08-13	0	1
Luminespib	Vorinostat	BT-549	0	1
Luminespib	Paclitaxel	MFM-223	0	1
MK-2206	Crizotinib	HCC1500	0	1
Sapitinib	Paclitaxel	HDQ-P1	0	1
Taselisib	Ribociclib	MDA-MB-468	0	1
PD173074	Paclitaxel	CAL-51	0	1
OSI-027	Taselisib	HCC1806	0	1
Sapitinib	Pictilisib	CAL-85-1	0	1
MK-1775	LGK974	MDST8	0	1
MK-2206	Sapitinib	HCC1806	0	1
OSI-027	Bortezomib	HCC1599	0	1
AZD8055	SCH772984	SNU-81	0	1
OSI-027	AZD7762	PA-TU-8988T	0	1
AZD7762	Navitoclax	ZR-75-30	0	1
AZD7762	MK-1775	CFPAC-1	0	1
5-Fluorouracil	AZD7762	HCC1954	0	1
Taselisib	MK-2206	HPAC	0	1
Cisplatin	Entinostat	BT-483	0	1
AZD7762	Linsitinib	JIMT-1	0	1
Linsitinib	LGK974	MZ1-PC	0	1
Axitinib	NU7441	MDA-MB-415	0	1
PD173074	Cisplatin	CAL-51	1	1
5-Fluorouracil	Afatinib	MDST8	0	1
Sapitinib	Trametinib	HCC1806	0	1
MK-1775	BMS-754807	SW1116	0	1
Gemcitabine	MK-2206	HuP-T4	1	1
SB505124	AZD8055	SW1116	0	1
OSI-027	Uprosertib	BT-549	0	1
Crizotinib	Ruxolitinib	PANC-04-03	0	1
Palbociclib	Taselisib	BT-549	0	1
Trametinib	NU7441	T47D	0	1
5-Fluorouracil	Cisplatin	HDQ-P1	0	1
Cisplatin	JQ1	ZR-75-30	0	1
Palbociclib	Gemcitabine	HCC38	0	1
MK-1775	Docetaxel	MFM-223	0	1
Cisplatin	Alpelisib	HCC38	0	1
Linsitinib	Lapatinib	PA-TU-8988T	0	1
5-Fluorouracil	MK-1775	T47D	0	1
Crizotinib	Axitinib	MDA-MB-330	0	1
Gemcitabine	Temozolomide	ZR-75-30	0	1
Olaparib	Entinostat	HCC1428	0	1
PD173074	Alisertib	HCC1143	0	1
Camptothecin	Sapitinib	SNU-C5	0	1
Palbociclib	SB216763	SNU-1040	0	1
Axitinib	Entinostat	JIMT-1	0	1
Cisplatin	Palbociclib	PA-TU-8988T	0	1
Gemcitabine	Taselisib	MDA-MB-157	0	1
Taselisib	Ribociclib	UACC-893	0	1
Afatinib	SCH772984	CW-2	1	1
OSI-027	Irinotecan	PANC-08-13	0	1
Lapatinib	MK-2206	MIA-PaCa-2	1	1
Olaparib	Paclitaxel	MDA-MB-157	0	1
Palbociclib	Temozolomide	OCUB-M	0	1
5-Fluorouracil	Palbociclib	HDQ-P1	0	1
MK-1775	JQ1	DU-4475	1	1
Navitoclax	MK-1775	T47D	0	1
Palbociclib	MK-2206	MDA-MB-415	0	1
SB216763	Afatinib	CW-2	0	1
AZD8055	Linsitinib	SNU-81	0	1
Axitinib	AZD6482	HCC2157	0	1
MK-2206	Alisertib	ZR-75-1	0	1
Navitoclax	AZD8055	HT-29	0	1
Erlotinib	Crizotinib	SW1990	0	1
Luminespib	SB216763	MDA-MB-330	0	1
Cisplatin	Docetaxel	BT-483	0	1
Vorinostat	JQ1	DU-4475	1	1
Linsitinib	AZD8055	NCI-H508	0	1
Linsitinib	AZD7762	NCI-H747	0	1
Bortezomib	Nilotinib	HCC1954	0	1
Docetaxel	BI-2536	CAL-51	0	1
MK-2206	Oxaliplatin	KP-4	0	1
AZD4547	SB216763	HT-29	0	1
Linsitinib	Vinorelbine	SNU-C1	0	1
AZD7762	Alisertib	HCC1569	0	1
Lapatinib	Ribociclib	MDA-MB-468	0	1
OSI-027	Trametinib	CAPAN-2	0	1
Olaparib	Trametinib	PANC-04-03	0	1
Olaparib	SCH772984	SW1116	0	1
MK-1775	Oxaliplatin	HPAC	0	1
Docetaxel	Cisplatin	MDA-MB-231	0	1
Gemcitabine	Crizotinib	BT-483	0	1
Taselisib	Sapitinib	HCC2998	0	1
Luminespib	Docetaxel	BT-549	0	1
Pictilisib	BI-2536	MFM-223	0	1
AZD7762	Vorinostat	BT-483	0	1
Sapitinib	MK-2206	BT-483	0	1
Axitinib	BI-2536	HCC1500	0	1
Axitinib	Luminespib	HCC2157	0	1
Temozolomide	GSK269962A	UACC-893	0	1
AZD8055	Olaparib	HT-29	0	1
Sapitinib	Gemcitabine	DU-4475	0	1
Taselisib	Navitoclax	JIMT-1	0	1
Navitoclax	Pictilisib	CAL-148	0	1
Vinorelbine	Linsitinib	COLO-320-HSR	0	1
Lapatinib	Linsitinib	PA-TU-8988T	0	1
Pictilisib	Sapitinib	HCC70	0	1
Taselisib	Vinorelbine	COLO-320-HSR	0	1
SCH772984	OSI-027	PANC-08-13	0	1
Bortezomib	Paclitaxel	HDQ-P1	0	1
Taselisib	LGK974	LS-180	0	1
Dabrafenib	MK-2206	CaR-1	0	1
5-Fluorouracil	AZD8055	BT-549	0	1
MK-1775	AZD4547	SW948	0	1
Lapatinib	Sorafenib	CAPAN-2	0	1
Sapitinib	LGK974	SNU-81	0	1
Erlotinib	MK-2206	YAPC	0	1
Palbociclib	Venetoclax	MDA-MB-157	0	1
Axitinib	Trametinib	MFM-223	0	1
Vorinostat	PF-4708671	CAL-51	0	1
SCH772984	Erlotinib	CFPAC-1	0	1
LGK974	Linsitinib	LS-123	0	1
Trametinib	Afatinib	GP5d	0	1
Olaparib	NU7441	HCC2157	0	1
Axitinib	MK-1775	HCC1500	0	1
Crizotinib	Navitoclax	HCC38	0	1
Docetaxel	PD173074	CAL-148	0	1
Trametinib	Docetaxel	BT-549	0	1
OSI-027	Bortezomib	HCC38	0	1
5-Fluorouracil	Alpelisib	UACC-893	0	1
Palbociclib	SCH772984	HDQ-P1	0	1
Cisplatin	PF-4708671	MDA-MB-415	0	1
Cisplatin	NU7441	HCC1500	0	1
Sapitinib	KU-55933	ZR-75-1	0	1
Dasatinib	Trametinib	CAPAN-2	1	1
Navitoclax	Trametinib	LS-180	0	1
5-Fluorouracil	Olaparib	MIA-PaCa-2	0	1
Sapitinib	OSI-027	CAL-85-1	0	1
Afatinib	Palbociclib	GP5d	0	1
Bortezomib	AZD8055	MDA-MB-453	0	1
Dabrafenib	5-Fluorouracil	LS-123	0	1
Pictilisib	Paclitaxel	HCC1569	0	1
Taselisib	Erlotinib	SUIT-2	0	1
SB216763	Vinorelbine	SNU-81	0	1
Camptothecin	SB216763	SNU-C1	0	1
Camptothecin	Oxaliplatin	T84	0	1
Cisplatin	OSI-027	SW1990	0	1
MK-2206	Gemcitabine	BxPC-3	0	1
Taselisib	Navitoclax	DAN-G	1	1
AZD7762	Lapatinib	MDA-MB-415	0	1
Temozolomide	PF-4708671	CAL-148	0	1
Lapatinib	Olaparib	HCC1395	0	1
Trametinib	Crizotinib	HCC2157	1	1
Linsitinib	RO-3306	MDA-MB-415	0	1
MK-2206	BI-2536	BT-483	0	1
Temozolomide	Tozasertib	MFM-223	0	1
Linsitinib	LGK974	CFPAC-1	0	1
Trametinib	Navitoclax	MZ1-PC	0	1
Navitoclax	Olaparib	CFPAC-1	0	1
Sorafenib	Palbociclib	PANC-08-13	0	1
Lapatinib	Sorafenib	MDA-MB-468	0	1
Irinotecan	AZD7762	MIA-PaCa-2	1	1
Luminespib	Afatinib	JIMT-1	0	1
Crizotinib	Sapitinib	HT-115	1	1
MK-1775	OSI-027	HPAC	0	1
Sapitinib	GSK269962A	HCC2157	0	1
PD173074	Olaparib	HCC1428	0	1
Taselisib	MK-1775	HCC38	0	1
Sapitinib	MK-1775	HT-29	0	1
Bortezomib	SB216763	MFM-223	0	1
Afatinib	AZD7762	HCC2998	0	1
MK-2206	Wee1 Inhibitor	ZR-75-30	0	1
Palbociclib	Doramapimod	T47D	0	1
Taselisib	Nilotinib	HCC1395	0	1
LGK974	SCH772984	MDST8	0	1
Navitoclax	Ribociclib	HCC1428	0	1
SCH772984	AZD8055	HCC2998	0	1
Sapitinib	JQ1	DU-4475	0	1
Sapitinib	SCH772984	GP5d	0	1
Olaparib	Bortezomib	ZR-75-30	0	1
Lapatinib	Wee1 Inhibitor	BT-483	0	1
Sapitinib	Dabrafenib	MDST8	0	1
MK-1775	Dasatinib	PANC-04-03	0	1
5-Fluorouracil	GSK269962A	MDA-MB-415	0	1
Taselisib	Trametinib	BT-549	1	1
Palbociclib	Olaparib	COLO-205	0	1
Palbociclib	Pictilisib	HCC202	0	1
MK-1775	Luminespib	MDA-MB-453	0	1
OSI-027	Cisplatin	MFM-223	0	1
AZD8055	Dabrafenib	C2BBe1	0	1
Sapitinib	AZD6482	HCC1143	0	1
AZD7762	Lapatinib	UACC-893	0	1
Temozolomide	Alpelisib	CAL-148	0	1
Trametinib	Temozolomide	MDA-MB-157	0	1
Linsitinib	Palbociclib	SNU-C1	0	1
Palbociclib	Trametinib	BT-549	0	1
Bortezomib	Alpelisib	HCC1599	0	1
Trametinib	MK-1775	C2BBe1	0	1
Olaparib	Alpelisib	HCC1599	0	1
MK-2206	KU-55933	OCUB-M	1	1
PD173074	Luminespib	HDQ-P1	0	1
Crizotinib	Cisplatin	BT-483	0	1
Crizotinib	Entinostat	MDA-MB-415	0	1
Taselisib	Navitoclax	HCC1143	0	1
Gemcitabine	GSK269962A	UACC-893	0	1
Luminespib	Nilotinib	DU-4475	0	1
Palbociclib	Wee1 Inhibitor	HDQ-P1	0	1
OSI-027	Galunisertib	HuP-T4	0	1
Gemcitabine	Crizotinib	PANC-08-13	0	1
PD173074	GSK269962A	DU-4475	1	1
Oxaliplatin	SB216763	COLO-320-HSR	0	1
OSI-027	Wee1 Inhibitor	HCC1395	0	1
Galunisertib	Dasatinib	PANC-08-13	0	1
Taselisib	AZD7762	HCC1143	0	1
PD173074	Luminespib	MDA-MB-231	0	1
Crizotinib	SCH772984	MFM-223	0	1
BMS-754807	AZD4547	HT-29	0	1
Galunisertib	Erlotinib	KP-1N	0	1
Navitoclax	Taselisib	COLO-205	1	1
Crizotinib	Axitinib	UACC-893	0	1
MK-1775	Vorinostat	MDA-MB-330	0	1
PD173074	Navitoclax	MDA-MB-453	0	1
Bortezomib	Lapatinib	DU-4475	0	1
PD173074	RO-3306	CAL-51	0	1
OSI-027	Trametinib	MDA-MB-157	0	1
Camptothecin	5-Fluorouracil	HT-29	0	1
Docetaxel	MK-1775	MDA-MB-415	0	1
Vorinostat	SCH772984	MDA-MB-453	0	1
Sapitinib	Vorinostat	BT-483	0	1
AZD7762	Temozolomide	T47D	0	1
Dabrafenib	Taselisib	NCI-H747	0	1
AZD4547	Camptothecin	T84	0	1
MK-1775	SB505124	LS-180	0	1
Taselisib	Temozolomide	MDA-MB-415	0	1
Oxaliplatin	Trametinib	HT-115	0	1
Linsitinib	Taselisib	MDA-MB-157	0	1
Gemcitabine	Wee1 Inhibitor	MDA-MB-453	0	1
Trametinib	Gemcitabine	PANC-08-13	0	1
Oxaliplatin	SB505124	NCI-H508	0	1
Sapitinib	Nilotinib	CAL-148	0	1
AZD7762	Bortezomib	MFM-223	0	1
MK-1775	SCH772984	KP-4	0	1
SB505124	Navitoclax	SNU-81	0	1
Olaparib	MK-2206	MIA-PaCa-2	0	1
Dasatinib	Dactolisib	SW1990	0	1
MK-2206	Dactolisib	KP-4	0	1
Sapitinib	OSI-027	JIMT-1	0	1
Bortezomib	Cisplatin	HCC1428	0	1
Taselisib	Dasatinib	PA-TU-8988T	1	1
Olaparib	Taselisib	MIA-PaCa-2	0	1
Temozolomide	AZD7762	HCC202	0	1
Lapatinib	Sorafenib	HCC38	0	1
Lapatinib	PF-4708671	ZR-75-30	0	1
Dabrafenib	MK-2206	NCI-H747	0	1
Olaparib	Linsitinib	HPAC	0	1
Lapatinib	BI-2536	ZR-75-30	1	1
Trametinib	Axitinib	MDA-MB-231	0	1
Vorinostat	Alisertib	HCC1599	1	1
Vorinostat	Linsitinib	MDA-MB-453	0	1
5-Fluorouracil	Sapitinib	T47D	0	1
Luminespib	BI-2536	ZR-75-30	0	1
Trametinib	Uprosertib	MDA-MB-468	1	1
MK-1775	Olaparib	COLO-678	0	1
Luminespib	RO-3306	HCC38	0	1
BMS-754807	Vinorelbine	CaR-1	0	1
Sapitinib	Doramapimod	MDA-MB-453	0	1
Cisplatin	5-Fluorouracil	UACC-893	0	1
Lapatinib	Temozolomide	MDA-MB-415	0	1
OSI-027	Linsitinib	PANC-08-13	0	1
MK-1775	SCH772984	BT-483	0	1
Docetaxel	OSI-027	HCC70	0	1
Gemcitabine	MK-2206	HCC1569	0	1
Lapatinib	RO-3306	HCC1806	0	1
Afatinib	5-Fluorouracil	LS-513	0	1
Temozolomide	RO-3306	HCC38	0	1
MK-2206	Palbociclib	YAPC	0	1
OSI-027	SCH772984	MIA-PaCa-2	0	1
Palbociclib	AZD7762	SUIT-2	0	1
Oxaliplatin	LGK974	CFPAC-1	0	1
Trametinib	Ribociclib	BT-483	0	1
MK-1775	Trametinib	PANC-08-13	0	1
Cisplatin	Gemcitabine	HCC1599	0	1
Pictilisib	MK-1775	CAL-148	0	1
MK-1775	Paclitaxel	MDA-MB-157	0	1
Linsitinib	5-Fluorouracil	SNU-407	0	1
Sapitinib	Axitinib	JIMT-1	1	1
Luminespib	Dabrafenib	HCC1806	0	1
LGK974	Irinotecan	CAPAN-2	0	1
Trametinib	BI-2536	HCC1143	0	1
SCH772984	Olaparib	MDST8	0	1
Lapatinib	Uprosertib	ZR-75-30	1	1
Sapitinib	Dabrafenib	HT-115	0	1
Oxaliplatin	Crizotinib	HuP-T4	0	1
Cisplatin	Alisertib	HCC1599	0	1
Palbociclib	SCH772984	HuP-T4	1	1
Olaparib	Cisplatin	DAN-G	0	1
Taselisib	JQ1	COLO-824	0	1
OSI-027	SB216763	HCC1428	0	1
MK-2206	Olaparib	NCI-H747	0	1
Trametinib	Linsitinib	PANC-08-13	0	1
Docetaxel	Navitoclax	MDA-MB-453	0	1
Lapatinib	NU7441	BT-483	0	1
Linsitinib	Sorafenib	HuP-T4	0	1
SB505124	5-Fluorouracil	C2BBe1	1	1
Olaparib	Taselisib	MDA-MB-231	0	1
Crizotinib	5-Fluorouracil	HCC38	0	1
5-Fluorouracil	Wee1 Inhibitor	HDQ-P1	0	1
Dabrafenib	Linsitinib	HT-29	0	1
Taselisib	Linsitinib	HT-29	0	1
Gemcitabine	Erlotinib	SW1990	0	1
MK-2206	Olaparib	CAPAN-2	0	1
PD173074	Uprosertib	MDA-MB-415	0	1
Axitinib	Crizotinib	HCC2157	0	1
MK-1775	Camptothecin	SNU-1040	0	1
Olaparib	Gemcitabine	PANC-08-13	0	1
Palbociclib	MK-2206	HCC1500	0	1
Axitinib	Dabrafenib	HCC2157	0	1
Temozolomide	PF-4708671	HCC1428	0	1
LGK974	BMS-754807	COLO-205	0	1
Vorinostat	SCH772984	HCC38	0	1
Bortezomib	Docetaxel	HCC1954	0	1
Lapatinib	Camptothecin	HCC1806	0	1
Cisplatin	Docetaxel	BT-549	0	1
Oxaliplatin	Trametinib	NCI-H747	0	1
MK-1775	Sapitinib	SNU-81	0	1
OSI-027	MK-1775	HCC1143	0	1
AZD7762	Gemcitabine	BT-483	0	1
Sapitinib	ZM447439	BT-549	0	1
Pictilisib	Paclitaxel	MDA-MB-231	0	1
Palbociclib	Temozolomide	HCC1569	0	1
Lapatinib	Bortezomib	COLO-824	0	1
Taselisib	Dabrafenib	HCC2157	0	1
Dabrafenib	5-Fluorouracil	CaR-1	0	1
Linsitinib	Dasatinib	PANC-08-13	0	1
Dabrafenib	Taselisib	COLO-320-HSR	0	1
Pictilisib	Navitoclax	HCC1143	0	1
Erlotinib	5-Fluorouracil	YAPC	0	1
MK-2206	Bortezomib	CAL-148	1	1
Temozolomide	AZD8055	MFM-223	0	1
Palbociclib	Irinotecan	MZ1-PC	0	1
Sapitinib	Navitoclax	COLO-678	0	1
OSI-027	Dabrafenib	HCC1395	0	1
Temozolomide	Docetaxel	CAL-148	0	1
Trametinib	Oxaliplatin	HT-115	0	1
OSI-027	Trametinib	MZ1-PC	0	1
Gemcitabine	PD173074	ZR-75-30	0	1
MK-2206	Docetaxel	BT-483	0	1
Sapitinib	Docetaxel	MDA-MB-330	0	1
Axitinib	Cisplatin	HCC1500	0	1
Olaparib	Axitinib	T47D	0	1
Temozolomide	Lapatinib	HCC2157	0	1
Lapatinib	Bortezomib	MDA-MB-157	0	1
OSI-027	Temozolomide	BT-483	0	1
Paclitaxel	AZD7762	CFPAC-1	0	1
MK-1775	MK-2206	MDA-MB-330	0	1
Lapatinib	MK-2206	HCC1395	0	1
SB505124	LGK974	HCC2998	0	1
Bortezomib	Pictilisib	HCC38	0	1
Olaparib	Afatinib	HCC1395	0	1
SCH772984	Lapatinib	BxPC-3	1	1
Bortezomib	Dabrafenib	HCC1500	0	1
Linsitinib	MK-1775	OCUB-M	0	1
Sapitinib	Tozasertib	HCC1806	0	1
5-Fluorouracil	LGK974	NCI-H716	0	1
5-Fluorouracil	Lapatinib	HCC1428	0	1
Olaparib	AZD8055	MDA-MB-231	0	1
Dabrafenib	Olaparib	HCC2998	0	1
Vinorelbine	Trametinib	SNU-C1	0	1
Sapitinib	OSI-027	T47D	0	1
Bortezomib	Dabrafenib	OCUB-M	0	1
Taselisib	Cisplatin	T47D	0	1
Trametinib	KU-55933	CAL-148	0	1
Luminespib	Palbociclib	BT-483	0	1
Luminespib	Venetoclax	HCC1143	0	1
Linsitinib	MK-2206	SNU-C5	0	1
Vorinostat	RO-3306	MDA-MB-157	0	1
Crizotinib	AZD8055	HCC1500	0	1
PD173074	Navitoclax	HDQ-P1	0	1
Vinorelbine	Afatinib	NCI-H716	0	1
Lapatinib	Ribociclib	MDA-MB-157	0	1
Navitoclax	Sorafenib	PANC-08-13	1	1
Axitinib	Tozasertib	JIMT-1	0	1
PD173074	Cisplatin	MDA-MB-330	0	1
Luminespib	AZD7762	HCC70	0	1
Ruxolitinib	Paclitaxel	HuP-T4	0	1
Luminespib	Afatinib	UACC-893	0	1
AZD7762	ZM447439	HCC1395	0	1
Dactolisib	Irinotecan	PA-TU-8988T	0	1
Palbociclib	MK-1775	LS-123	0	1
MK-1775	MK-2206	COLO-320-HSR	1	1
Gemcitabine	Taselisib	MDA-MB-231	0	1
Temozolomide	Gemcitabine	HCC1599	0	1
Gemcitabine	Lapatinib	CFPAC-1	0	1
MK-1775	Sorafenib	HuP-T4	0	1
Oxaliplatin	AZD7762	NCI-H716	0	1
Sapitinib	5-Fluorouracil	HCC1428	0	1
Taselisib	Vinorelbine	NCI-H747	0	1
Irinotecan	MK-2206	MIA-PaCa-2	0	1
Linsitinib	KU-55933	HCC1599	0	1
Oxaliplatin	Erlotinib	YAPC	0	1
Vorinostat	OSI-027	OCUB-M	0	1
Crizotinib	Olaparib	LS-513	0	1
Linsitinib	PD173074	HCC1806	0	1
Axitinib	Luminespib	HCC1569	0	1
MK-2206	AZD7762	NCI-H716	0	1
5-Fluorouracil	Irinotecan	YAPC	0	1
Vorinostat	Venetoclax	MDA-MB-468	0	1
MK-1775	PF-4708671	HCC2157	0	1
Cisplatin	OSI-027	MDA-MB-330	0	1
Axitinib	Nilotinib	HCC1569	0	1
AZD8055	Trametinib	NCI-H716	0	1
Gemcitabine	Cisplatin	PANC-04-03	0	1
Olaparib	Crizotinib	KP-4	0	1
Vinorelbine	SB505124	NCI-H508	0	1
Vorinostat	PD173074	HCC1954	0	1
AZD7762	MK-2206	MDA-MB-157	0	1
PD173074	BI-2536	MDA-MB-468	0	1
Lapatinib	SCH772984	YAPC	1	1
Sapitinib	Olaparib	MFM-223	0	1
OSI-027	LGK974	SUIT-2	0	1
AZD7762	Camptothecin	ZR-75-1	0	1
Navitoclax	AZD8055	CAL-51	0	1
Bortezomib	Docetaxel	BT-549	0	1
MK-2206	Ribociclib	HCC1954	0	1
AZD7762	Crizotinib	COLO-205	0	1
PD173074	RO-3306	JIMT-1	0	1
Vinorelbine	Dabrafenib	COLO-320-HSR	0	1
OSI-027	Ribociclib	BT-483	0	1
Axitinib	Crizotinib	MDA-MB-157	0	1
MK-1775	SB216763	HCC1395	0	1
Bortezomib	RO-3306	HCC1599	0	1
Vorinostat	Paclitaxel	ZR-75-1	0	1
AZD7762	Afatinib	HCC1500	0	1
Cisplatin	Navitoclax	HPAC	0	1
AZD7762	Alpelisib	COLO-824	0	1
5-Fluorouracil	OSI-027	HCC1395	0	1
5-Fluorouracil	OSI-027	MDA-MB-330	0	1
Palbociclib	Olaparib	HCC1954	0	1
Gemcitabine	Taselisib	HCC1599	0	1
Crizotinib	Tozasertib	OCUB-M	0	1
Docetaxel	Ribociclib	HCC1395	0	1
Lapatinib	Temozolomide	HCC1806	0	1
Gemcitabine	BI-2536	T47D	0	1
Gemcitabine	Uprosertib	HCC1500	0	1
PD173074	Alisertib	HCC1500	0	1
OSI-027	5-Fluorouracil	HDQ-P1	0	1
Crizotinib	Bortezomib	HCC1569	0	1
Oxaliplatin	SCH772984	SNU-1040	0	1
Sapitinib	RO-3306	MDA-MB-231	0	1
Luminespib	Pictilisib	HDQ-P1	0	1
AZD7762	SB505124	SNU-C1	0	1
PD173074	Ribociclib	MDA-MB-468	0	1
Temozolomide	Cisplatin	ZR-75-30	0	1
Luminespib	KU-55933	MDA-MB-231	0	1
Dactolisib	MK-2206	KP-1N	0	1
Irinotecan	Cisplatin	PA-TU-8988T	0	1
Luminespib	Docetaxel	DU-4475	0	1
AZD7762	Crizotinib	MIA-PaCa-2	0	1
Pictilisib	ZM447439	MDA-MB-453	0	1
MK-1775	Olaparib	KP-1N	0	1
Temozolomide	AZD8055	HDQ-P1	0	1
Crizotinib	LGK974	SNU-407	0	1
Palbociclib	Linsitinib	UACC-893	0	1
Pictilisib	Ribociclib	UACC-893	0	1
PD173074	AZD7762	HCC202	0	1
MK-1775	OSI-027	MDA-MB-468	0	1
Dabrafenib	Taselisib	SNU-81	0	1
Docetaxel	Alpelisib	COLO-824	0	1
Docetaxel	MK-2206	HCC1806	0	1
Crizotinib	SCH772984	MDA-MB-231	0	1
Lapatinib	Alisertib	JIMT-1	0	1
BMS-754807	Vinorelbine	CW-2	0	1
Linsitinib	MK-1775	NCI-H716	0	1
MK-2206	Linsitinib	COLO-205	0	1
Sapitinib	AZD8055	BT-483	0	1
Vorinostat	GSK269962A	CAL-148	0	1
OSI-027	GSK269962A	CAL-85-1	0	1
Trametinib	Axitinib	ZR-75-30	0	1
Crizotinib	Gemcitabine	PANC-04-03	0	1
Crizotinib	Alpelisib	HCC1428	0	1
Linsitinib	Afatinib	COLO-824	0	1
AZD8055	SCH772984	COLO-320-HSR	0	1
AZD4547	BMS-754807	NCI-H716	0	1
Lapatinib	BI-2536	BT-549	0	1
Vorinostat	Uprosertib	BT-549	0	1
MK-2206	AZD7762	HCC2157	0	1
Taselisib	Dactolisib	MZ1-PC	0	1
Sapitinib	PD173074	MDA-MB-415	0	1
MK-2206	PF-4708671	HCC1143	0	1
Cisplatin	Luminespib	UACC-893	0	1
AZD7762	Wee1 Inhibitor	CAL-51	0	1
Palbociclib	AZD8055	HCC1954	0	1
Linsitinib	Vorinostat	MDA-MB-415	0	1
MK-2206	Lapatinib	HCC1143	0	1
OSI-027	Nilotinib	MDA-MB-468	0	1
Trametinib	5-Fluorouracil	NCI-H747	0	1
Sorafenib	Oxaliplatin	HuP-T4	0	1
Olaparib	OSI-027	PANC-08-13	0	1
Sorafenib	MK-2206	PANC-04-03	0	1
Luminespib	Alpelisib	HCC1143	0	1
Taselisib	Lapatinib	HCC1428	0	1
Docetaxel	Trametinib	ZR-75-1	0	1
Crizotinib	Bortezomib	JIMT-1	0	1
Cisplatin	Galunisertib	CFPAC-1	0	1
Cisplatin	Pictilisib	MDA-MB-453	0	1
MK-2206	SCH772984	MDA-MB-468	0	1
Crizotinib	Cisplatin	ZR-75-1	0	1
AZD4547	Dabrafenib	SNU-407	0	1
Dasatinib	Olaparib	PA-TU-8988T	0	1
Linsitinib	RO-3306	HCC1428	0	1
AZD8055	AZD4547	SNU-C5	0	1
Vorinostat	AZD6482	HDQ-P1	0	1
Taselisib	Ruxolitinib	HuP-T4	0	1
Vorinostat	NU7441	HCC2157	0	1
AZD4547	MK-1775	SW1116	0	1
Cisplatin	LGK974	MZ1-PC	0	1
Docetaxel	5-Fluorouracil	HCC1500	0	1
Palbociclib	Doramapimod	HCC1806	0	1
Gemcitabine	5-Fluorouracil	BT-483	0	1
Palbociclib	Wee1 Inhibitor	DU-4475	0	1
Trametinib	Oxaliplatin	SW1116	0	1
SCH772984	BMS-754807	LS-513	0	1
Dactolisib	LGK974	YAPC	0	1
AZD7762	SCH772984	BT-483	0	1
Dactolisib	Taselisib	CFPAC-1	0	1
Crizotinib	Afatinib	HT-115	0	1
Crizotinib	Oxaliplatin	SW1990	0	1
Docetaxel	Bortezomib	T47D	0	1
Axitinib	Entinostat	MDA-MB-231	0	1
Dactolisib	Linsitinib	KP-4	0	1
Sapitinib	MK-2206	HCC38	0	1
Temozolomide	AZD7762	T47D	0	1
Linsitinib	Camptothecin	JIMT-1	0	1
Temozolomide	BI-2536	HCC1569	0	1
Lapatinib	Navitoclax	JIMT-1	0	1
PD173074	Wee1 Inhibitor	HCC1428	0	1
Temozolomide	Tozasertib	HCC2157	0	1
Gemcitabine	Taselisib	HDQ-P1	0	1
Sapitinib	Paclitaxel	MDA-MB-453	0	1
Gemcitabine	Doramapimod	MDA-MB-453	0	1
OSI-027	RO-3306	JIMT-1	0	1
Cisplatin	Sorafenib	HCC1143	0	1
Pictilisib	JQ1	BT-549	0	1
AZD7762	Taselisib	MDA-MB-453	0	1
Navitoclax	Oxaliplatin	NCI-H508	0	1
Palbociclib	Nilotinib	MFM-223	0	1
Trametinib	KU-55933	CAL-85-1	0	1
SB505124	Olaparib	HT-115	0	1
Sapitinib	ZM447439	MFM-223	0	1
Luminespib	Vorinostat	DU-4475	0	1
Oxaliplatin	Palbociclib	CaR-1	0	1
Gemcitabine	MK-1775	SW1990	0	1
Bortezomib	Uprosertib	HCC1143	0	1
Paclitaxel	Dactolisib	PA-TU-8988T	0	1
Navitoclax	Afatinib	MDA-MB-453	0	1
Vinorelbine	Sapitinib	LS-513	0	1
MK-1775	Temozolomide	OCUB-M	0	1
Luminespib	OSI-027	HCC1500	0	1
Sapitinib	Taselisib	HCC1806	0	1
